id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,emission_source,UOM (simple),UOM,UOM_wd,Lookup,GHG,emission_target_formula,emission_target,emission_target_wd,GHG_wd,valid_from,valid_to,region,region_wd,Conversion Factor 2021,GWP,Value 2021,GWP_id
41,Scope1,Fuels,Gaseous fuels,LNG,,Volume,Gaseous_fuels_LNG,litres,litres,https://www.wikidata.org/wiki/Q11582,LNG litres,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.15623,,1.15623,
42,Scope1,Fuels,Gaseous fuels,LNG,,Volume,Gaseous_fuels_LNG,litres,litres,https://www.wikidata.org/wiki/Q11582,LNG litres,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00156,28.0,5.5714285714285715e-05,ch4_co2e_2014
43,Scope1,Fuels,Gaseous fuels,LNG,,Volume,Gaseous_fuels_LNG,litres,litres,https://www.wikidata.org/wiki/Q11582,LNG litres,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.15407,1.0,1.15407,co2_co2e_2014
44,Scope1,Fuels,Gaseous fuels,LNG,,Volume,Gaseous_fuels_LNG,litres,litres,https://www.wikidata.org/wiki/Q11582,LNG litres,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00061,265.0,2.30188679245283e-06,n2o_co2e_2014
45,Scope1,Fuels,Gaseous fuels,LNG,,Tonnes,Gaseous_fuels_LNG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,LNG tonnes,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2555.28,,2555.28,
46,Scope1,Fuels,Gaseous fuels,LNG,,Tonnes,Gaseous_fuels_LNG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,LNG tonnes,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,3.44,28.0,0.12285714285714286,ch4_co2e_2014
47,Scope1,Fuels,Gaseous fuels,LNG,,Tonnes,Gaseous_fuels_LNG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,LNG tonnes,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2550.49,1.0,2550.49,co2_co2e_2014
48,Scope1,Fuels,Gaseous fuels,LNG,,Tonnes,Gaseous_fuels_LNG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,LNG tonnes,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.34,265.0,0.005056603773584906,n2o_co2e_2014
49,Scope1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,Gaseous_fuels_LPG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LPG kWh (Gross CV),kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.21449,,0.21449,
50,Scope1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,Gaseous_fuels_LPG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LPG kWh (Gross CV),kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00017,28.0,6.071428571428572e-06,ch4_co2e_2014
51,Scope1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,Gaseous_fuels_LPG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LPG kWh (Gross CV),kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.21419,1.0,0.21419,co2_co2e_2014
52,Scope1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,Gaseous_fuels_LPG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LPG kWh (Gross CV),kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00013,265.0,4.90566037735849e-07,n2o_co2e_2014
53,Scope1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,Gaseous_fuels_LPG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LPG kWh (Net CV),kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.23031,,0.23031,
54,Scope1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,Gaseous_fuels_LPG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LPG kWh (Net CV),kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00018,28.0,6.428571428571429e-06,ch4_co2e_2014
55,Scope1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,Gaseous_fuels_LPG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LPG kWh (Net CV),kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.22999,1.0,0.22999,co2_co2e_2014
56,Scope1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,Gaseous_fuels_LPG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LPG kWh (Net CV),kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00014,265.0,5.283018867924527e-07,n2o_co2e_2014
57,Scope1,Fuels,Gaseous fuels,LPG,,Volume,Gaseous_fuels_LPG,litres,litres,https://www.wikidata.org/wiki/Q11582,LPG litres,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.55709,,1.55709,
58,Scope1,Fuels,Gaseous fuels,LPG,,Volume,Gaseous_fuels_LPG,litres,litres,https://www.wikidata.org/wiki/Q11582,LPG litres,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00121,28.0,4.321428571428571e-05,ch4_co2e_2014
59,Scope1,Fuels,Gaseous fuels,LPG,,Volume,Gaseous_fuels_LPG,litres,litres,https://www.wikidata.org/wiki/Q11582,LPG litres,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.55491,1.0,1.55491,co2_co2e_2014
60,Scope1,Fuels,Gaseous fuels,LPG,,Volume,Gaseous_fuels_LPG,litres,litres,https://www.wikidata.org/wiki/Q11582,LPG litres,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00097,265.0,3.6603773584905663e-06,n2o_co2e_2014
61,Scope1,Fuels,Gaseous fuels,LPG,,Tonnes,Gaseous_fuels_LPG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,LPG tonnes,kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2939.29,,2939.29,
