id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,emission_source,UOM,UOM_wd,GHG/Unit,emission_target_formula,emission_target,emission_target_wd,GHG,GHG_wd,valid_from,valid_to,region,region_wd,Conversion Factor 2022,GWP,Value 2022,GWP_id
47,Scope1,Fuels,Gaseous fuels,LNG,,,Gaseous_fuels_LNG,kWh,https://www.wikidata.org/wiki/Q182098,kg CO2e of CH4,CO2e of CH4,Carbon dioxide equivalent of Methane,https://w3id.org/ecfkg/i/emission_target/co2e_of_ch4,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00025,27.9,8.960573476702509e-06,ch4_co2e_2022
48,Scope1,Fuels,Gaseous fuels,LNG,,,Gaseous_fuels_LNG,kWh,https://www.wikidata.org/wiki/Q182098,kg CO2e of N2O,CO2e of N2O,Carbon dioxide equivalent of Nitrous Oxide,https://w3id.org/ecfkg/i/emission_target/co2e_of_n2o,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0001,273.0,3.663003663003663e-07,n2o_co2e_2022
49,Scope1,Fuels,Gaseous fuels,LPG,,,Gaseous_fuels_LPG,tonnes,https://www.wikidata.org/wiki/Q191118,kg CO2e,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2939.29,,2939.29,
50,Scope1,Fuels,Gaseous fuels,LPG,,,Gaseous_fuels_LPG,tonnes,https://www.wikidata.org/wiki/Q191118,kg CO2e of CO2,CO2e of CO2,Carbon dioxide equivalent of Carbon dioxide,https://w3id.org/ecfkg/i/emission_target/co2e_of_co2,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2935.18,1.0,2935.18,co2_co2e_2022
51,Scope1,Fuels,Gaseous fuels,LPG,,,Gaseous_fuels_LPG,tonnes,https://www.wikidata.org/wiki/Q191118,kg CO2e of CH4,CO2e of CH4,Carbon dioxide equivalent of Methane,https://w3id.org/ecfkg/i/emission_target/co2e_of_ch4,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2.28,27.9,0.08172043010752687,ch4_co2e_2022
52,Scope1,Fuels,Gaseous fuels,LPG,,,Gaseous_fuels_LPG,tonnes,https://www.wikidata.org/wiki/Q191118,kg CO2e of N2O,CO2e of N2O,Carbon dioxide equivalent of Nitrous Oxide,https://w3id.org/ecfkg/i/emission_target/co2e_of_n2o,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.83,273.0,0.006703296703296704,n2o_co2e_2022
53,Scope1,Fuels,Gaseous fuels,LPG,,,Gaseous_fuels_LPG,litres,https://www.wikidata.org/wiki/Q11582,kg CO2e,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.55709,,1.55709,
54,Scope1,Fuels,Gaseous fuels,LPG,,,Gaseous_fuels_LPG,litres,https://www.wikidata.org/wiki/Q11582,kg CO2e of CO2,CO2e of CO2,Carbon dioxide equivalent of Carbon dioxide,https://w3id.org/ecfkg/i/emission_target/co2e_of_co2,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.55491,1.0,1.55491,co2_co2e_2022
55,Scope1,Fuels,Gaseous fuels,LPG,,,Gaseous_fuels_LPG,litres,https://www.wikidata.org/wiki/Q11582,kg CO2e of CH4,CO2e of CH4,Carbon dioxide equivalent of Methane,https://w3id.org/ecfkg/i/emission_target/co2e_of_ch4,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00121,27.9,4.3369175627240145e-05,ch4_co2e_2022
56,Scope1,Fuels,Gaseous fuels,LPG,,,Gaseous_fuels_LPG,litres,https://www.wikidata.org/wiki/Q11582,kg CO2e of N2O,CO2e of N2O,Carbon dioxide equivalent of Nitrous Oxide,https://w3id.org/ecfkg/i/emission_target/co2e_of_n2o,kg,https://www.wikidata.org/wiki/Q11570,2022-01-01T00:00:00,2022-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00097,273.0,3.5531135531135535e-06,n2o_co2e_2022
