id,Scope,Level 1,Level 2,Level 3,Level 4,emission_source,Column Text,UOM simple,uom_wd,UOM,GHG,ghg_wd,emission_target,emission_target_formula,emission_target_wd,GHG Conversion Factor 2016,valid_from,valid_to,region,region_wd
52,Scope1,Fuels,Gaseous fuels,Natural gas,,Gaseous_fuels_Natural_gas,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,N2O,http://www.wikidata.org/entity/Q905750,0.0001,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
53,Scope1,Fuels,Gaseous fuels,Natural gas,,Gaseous_fuels_Natural_gas,Energy - Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Net CV),kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,CO2e,http://www.wikidata.org/entity/Q1933140,0.20444,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
54,Scope1,Fuels,Gaseous fuels,Natural gas,,Gaseous_fuels_Natural_gas,Energy - Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Net CV),kilogram,http://www.wikidata.org/entity/Q11570,methane,CH4,http://www.wikidata.org/entity/Q37129,0.00028,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
55,Scope1,Fuels,Gaseous fuels,Natural gas,,Gaseous_fuels_Natural_gas,Energy - Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Net CV),kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,CO2,http://www.wikidata.org/entity/Q1997,0.20405,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
56,Scope1,Fuels,Gaseous fuels,Natural gas,,Gaseous_fuels_Natural_gas,Energy - Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Net CV),kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,N2O,http://www.wikidata.org/entity/Q905750,0.00011,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
57,Scope1,Fuels,Gaseous fuels,Natural gas,,Gaseous_fuels_Natural_gas,Volume,cubic metre,http://www.wikidata.org/entity/Q25517,cubic metres,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,CO2e,http://www.wikidata.org/entity/Q1933140,2.02838,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
58,Scope1,Fuels,Gaseous fuels,Natural gas,,Gaseous_fuels_Natural_gas,Volume,cubic metre,http://www.wikidata.org/entity/Q25517,cubic metres,kilogram,http://www.wikidata.org/entity/Q11570,methane,CH4,http://www.wikidata.org/entity/Q37129,0.00281,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
59,Scope1,Fuels,Gaseous fuels,Natural gas,,Gaseous_fuels_Natural_gas,Volume,cubic metre,http://www.wikidata.org/entity/Q25517,cubic metres,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,CO2,http://www.wikidata.org/entity/Q1997,2.02451,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
60,Scope1,Fuels,Gaseous fuels,Natural gas,,Gaseous_fuels_Natural_gas,Volume,cubic metre,http://www.wikidata.org/entity/Q25517,cubic metres,kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,N2O,http://www.wikidata.org/entity/Q905750,0.00106,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
61,Scope1,Fuels,Gaseous fuels,Natural gas,,Gaseous_fuels_Natural_gas,Tonnes,tonne,http://www.wikidata.org/entity/Q191118,tonnes,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,CO2e,http://www.wikidata.org/entity/Q1933140,2715.82599,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
